Date,Orders,"Total Sales",Returns,Coupons,Taxes,Shipping,"Net Revenue"
"2020-08-27 00:00:00",0,0,0,0,0,0,0
"2020-08-26 00:00:00",0,0,0,0,0,0,0
"2020-08-25 00:00:00",0,0,0,0,0,0,0
"2020-08-24 00:00:00",0,0,0,0,0,0,0
"2020-08-23 00:00:00",0,0,0,0,0,0,0
"2020-08-22 00:00:00",0,0,0,0,0,0,0
"2020-08-21 00:00:00",0,0,0,0,0,0,0
"2020-08-20 00:00:00",1,226,0,0,0,60,166
"2020-08-19 00:00:00",0,0,0,0,0,0,0
"2020-08-18 00:00:00",0,0,0,0,0,0,0
"2020-08-17 00:00:00",0,0,0,0,0,0,0
"2020-08-16 00:00:00",0,0,0,0,0,0,0
"2020-08-15 00:00:00",0,0,0,0,0,0,0
"2020-08-14 00:00:00",0,0,0,0,0,0,0
"2020-08-13 00:00:00",0,0,0,0,0,0,0
"2020-08-12 00:00:00",1,306,0,0,0,60,246
"2020-08-11 00:00:00",0,0,0,0,0,0,0
"2020-08-10 00:00:00",0,0,0,0,0,0,0
"2020-08-09 00:00:00",0,0,0,0,0,0,0
"2020-08-08 00:00:00",0,0,0,0,0,0,0
"2020-08-07 00:00:00",1,220,0,0,0,60,160
"2020-08-06 00:00:00",0,0,0,0,0,0,0
"2020-08-05 00:00:00",0,0,0,0,0,0,0
"2020-08-04 00:00:00",0,0,0,0,0,0,0
"2020-08-03 00:00:00",0,0,0,0,0,0,0
"2020-08-02 00:00:00",0,0,0,0,0,0,0
"2020-08-01 00:00:00",0,0,0,0,0,0,0
